,pac-1
ACH-000030,1
ACH-000817,1
ACH-000617,1
ACH-000691,0
ACH-000207,0
ACH-000198,1
ACH-000724,0
ACH-000985,1
ACH-000886,1
ACH-000725,1
ACH-000019,1
ACH-000322,1
ACH-000821,0
ACH-000343,1
ACH-000756,0
ACH-000551,0
ACH-000524,1
ACH-000183,1
ACH-000493,1
ACH-000193,1
ACH-000944,1
ACH-000651,1
ACH-000857,0
ACH-000267,1
ACH-000464,1
ACH-000082,0
ACH-000784,0
ACH-000048,1
ACH-000094,0
ACH-000219,1
ACH-000525,0
ACH-000595,0
ACH-000826,0
ACH-000363,1
ACH-000530,0
ACH-000856,1
ACH-000376,1
ACH-000235,0
ACH-000869,1
ACH-000679,0
ACH-000075,0
ACH-000065,0
ACH-000622,0
ACH-000613,1
ACH-000248,1
ACH-000538,1
ACH-000375,0
ACH-000145,0
ACH-000587,0
ACH-000951,1
ACH-000662,1
ACH-000648,0
ACH-000353,1
ACH-000812,0
ACH-000892,0
ACH-000243,0
ACH-000273,1
ACH-000639,1
ACH-000893,1
ACH-000803,1
ACH-000056,1
ACH-000819,1
ACH-000811,1
ACH-000151,1
ACH-000138,1
ACH-000379,0
ACH-000101,1
ACH-000227,1
ACH-000875,1
ACH-000882,1
ACH-000374,1
ACH-000501,0
ACH-000627,1
ACH-000767,0
ACH-000902,1
ACH-000879,0
ACH-000977,1
ACH-000078,1
ACH-000293,0
ACH-000740,0
ACH-000001,1
ACH-000431,0
ACH-000823,1
ACH-000168,0
ACH-000054,0
ACH-000562,1
ACH-000024,1
ACH-000873,1
ACH-000745,1
ACH-000559,0
ACH-000800,0
ACH-000885,0
ACH-000441,0
ACH-000118,1
ACH-000476,1
ACH-000814,0
ACH-000573,0
ACH-000217,0
ACH-000420,1
ACH-000998,0
ACH-000149,1
ACH-000346,0
ACH-000486,0
ACH-000903,0
ACH-000747,0
ACH-000929,0
ACH-000759,0
ACH-000770,0
ACH-000465,0
ACH-000146,1
ACH-000830,0
ACH-000615,1
ACH-000211,1
ACH-000729,1
ACH-000585,0
ACH-000265,0
ACH-000816,0
ACH-000876,0
ACH-000698,0
ACH-000563,0
ACH-000392,1
ACH-000647,0
ACH-000252,1
ACH-000945,0
ACH-000410,0
ACH-000233,1
ACH-000508,1
ACH-000102,0
ACH-000636,1
ACH-000482,1
ACH-000527,0
ACH-000637,0
ACH-000115,1
ACH-000900,0
ACH-000098,0
ACH-000802,1
ACH-000805,1
ACH-000619,0
ACH-000638,1
ACH-000015,0
ACH-000416,0
ACH-000381,1
ACH-000012,0
ACH-000969,0
ACH-000792,0
ACH-000962,1
ACH-000776,1
ACH-000720,0
ACH-000890,1
ACH-000423,1
ACH-000930,1
ACH-000401,0
ACH-000822,0
ACH-000081,1
ACH-000475,0
ACH-000231,1
ACH-000670,0
ACH-000257,0
ACH-000940,0
ACH-000372,1
ACH-000718,0
ACH-000787,0
ACH-001075,1
ACH-000665,0
ACH-000841,1
ACH-000008,1
ACH-000073,0
ACH-000699,1
ACH-000643,1
ACH-000298,0
ACH-000378,1
ACH-000950,0
ACH-000480,0
ACH-000703,0
ACH-000586,0
ACH-000290,1
ACH-000350,0
ACH-000457,1
ACH-000641,1
ACH-000939,0
ACH-000980,0
ACH-000447,0
ACH-000521,1
ACH-000358,0
ACH-000309,0
ACH-000504,0
ACH-000536,0
ACH-000783,1
ACH-000099,1
ACH-000348,0
ACH-000669,0
ACH-000408,0
ACH-000818,0
ACH-000644,0
ACH-000697,1
ACH-000249,0
ACH-000429,1
ACH-000366,0
ACH-000924,1
ACH-000937,1
ACH-000442,0
ACH-000866,0
ACH-000191,0
ACH-000100,1
ACH-000189,0
ACH-000260,0
ACH-000399,0
ACH-000040,0
ACH-000610,0
ACH-000733,0
ACH-000440,1
ACH-001190,1
ACH-000391,1
ACH-000666,0
ACH-000223,0
ACH-000443,0
ACH-000786,1
ACH-000136,1
ACH-000142,0
ACH-000107,1
ACH-000518,0
ACH-000269,0
ACH-000264,0
ACH-000835,0
ACH-000702,0
ACH-000282,0
ACH-000546,0
ACH-000422,0
ACH-000067,1
ACH-000117,0
ACH-000628,1
ACH-000221,0
ACH-000790,1
ACH-000451,1
ACH-000292,0
ACH-000867,1
ACH-000087,1
ACH-000159,1
ACH-000062,0
ACH-000276,1
ACH-000055,0
ACH-000781,1
ACH-000111,0
ACH-000228,0
ACH-000888,0
ACH-000121,0
ACH-000483,1
ACH-000871,0
ACH-000717,1
ACH-000565,0
ACH-000186,0
ACH-000192,0
ACH-000042,0
ACH-000789,1
ACH-000354,1
ACH-000196,1
ACH-000254,0
ACH-000395,1
ACH-000116,0
ACH-000157,1
ACH-000621,1
ACH-000308,0
ACH-000694,0
ACH-000038,1
ACH-000169,0
ACH-000743,0
ACH-000238,0
ACH-000548,0
ACH-000161,0
ACH-000860,1
ACH-000560,1
ACH-000434,0
ACH-000456,1
ACH-000341,0
ACH-000021,0
ACH-000058,1
ACH-000775,1
ACH-000364,1
ACH-000624,0
ACH-000414,1
ACH-000352,0
ACH-000349,1
ACH-000319,0
ACH-000181,0
ACH-000137,0
ACH-000766,0
ACH-000675,0
ACH-000389,0
ACH-000351,1
ACH-000394,0
ACH-000744,0
ACH-000114,1
ACH-000103,1
ACH-000144,1
ACH-000514,0
ACH-000864,1
ACH-000305,0
ACH-000603,0
ACH-000916,0
ACH-000978,0
ACH-000561,0
ACH-000052,0
