,sb216763
ACH-000830,0
ACH-000615,0
ACH-000211,1
ACH-000729,0
ACH-000585,0
ACH-000265,0
ACH-000816,1
ACH-000876,1
ACH-000035,0
ACH-000373,0
ACH-000563,0
ACH-000999,0
ACH-000392,0
ACH-000647,0
ACH-000252,0
ACH-000945,1
ACH-000410,0
ACH-000233,1
ACH-000508,0
ACH-000102,0
ACH-000636,1
ACH-000482,0
ACH-000527,0
ACH-000637,0
ACH-000115,1
ACH-000900,1
ACH-000098,1
ACH-000802,1
ACH-000805,0
ACH-000619,1
ACH-000638,0
ACH-000015,0
ACH-000416,0
ACH-000381,1
ACH-000012,0
ACH-000969,0
ACH-000792,1
ACH-000962,1
ACH-000776,0
ACH-000720,1
ACH-000890,0
ACH-000423,0
ACH-000930,0
ACH-000401,1
ACH-000822,0
ACH-000081,0
ACH-000475,0
ACH-000231,0
ACH-000670,0
ACH-000257,0
ACH-000940,0
ACH-000372,1
ACH-000210,1
ACH-000718,0
ACH-000584,0
ACH-000787,1
ACH-001075,1
ACH-000665,1
ACH-000955,1
ACH-000841,1
ACH-000008,1
ACH-000073,0
ACH-000699,0
ACH-000643,1
ACH-000298,0
ACH-000378,1
ACH-000950,1
ACH-000480,0
ACH-000703,0
ACH-000586,0
ACH-000290,0
ACH-000350,0
ACH-000457,1
ACH-000641,1
ACH-000939,0
ACH-000980,1
ACH-000447,0
ACH-000521,0
ACH-000358,0
ACH-000309,1
ACH-000504,0
ACH-000536,0
ACH-000783,1
ACH-000348,1
ACH-000669,0
ACH-000408,0
ACH-000818,0
ACH-000644,0
ACH-000697,1
ACH-000249,0
ACH-000366,1
ACH-000924,0
ACH-000091,0
ACH-000780,1
ACH-000866,1
ACH-000191,1
ACH-000100,1
ACH-000189,0
ACH-000260,1
ACH-000040,0
ACH-000610,0
ACH-000733,1
ACH-000440,0
ACH-001190,1
ACH-000391,0
ACH-000666,0
ACH-000223,0
ACH-000443,0
ACH-000786,1
ACH-000136,0
ACH-000142,1
ACH-000689,0
ACH-000107,0
ACH-000518,0
ACH-000269,0
ACH-000264,1
ACH-000835,1
ACH-000702,1
ACH-000282,0
ACH-000546,1
ACH-000067,1
ACH-000117,0
ACH-000628,0
ACH-000790,0
ACH-000451,1
ACH-000867,1
ACH-000087,0
ACH-000159,1
ACH-000062,1
ACH-000276,0
ACH-000055,1
ACH-000781,1
ACH-000111,0
ACH-000888,0
ACH-000121,1
ACH-000871,1
ACH-000717,0
ACH-000565,1
ACH-000192,0
ACH-000895,1
ACH-000789,0
ACH-000050,1
ACH-000354,0
ACH-000196,1
ACH-000254,0
ACH-000395,0
ACH-000116,0
ACH-000157,0
ACH-000621,0
ACH-000308,0
ACH-000694,0
ACH-000038,0
ACH-000169,1
ACH-000743,0
ACH-000427,1
ACH-000238,1
ACH-000640,0
ACH-000548,0
ACH-000161,0
ACH-000860,0
ACH-000560,0
ACH-000434,1
ACH-000456,1
ACH-000341,1
ACH-000021,0
ACH-000058,0
ACH-000775,0
ACH-000364,1
ACH-000624,1
ACH-000352,0
ACH-000349,1
ACH-000319,0
ACH-000181,0
ACH-000137,1
ACH-000766,1
ACH-000675,0
ACH-000389,1
ACH-000920,1
ACH-000351,0
ACH-000394,0
ACH-000744,0
ACH-000114,0
ACH-000795,1
ACH-000144,0
ACH-000514,0
ACH-000864,1
ACH-000305,0
ACH-000603,0
ACH-000916,0
ACH-000978,0
ACH-000052,0
